CustomerID,name,category,type,country,category
164490,No Plan Selected,rotate,standard,us,semi-3
181885,No Plan Selected,rotate,standard,us,semi-3
42900,No Plan Selected,rotate,standard,us,semi-3
181892,No Plan Selected,rotate,standard,us,static
135027,No Plan Selected,rotate,standard,us,semi-3
148236,No Plan Selected,rotate,standard,us,static
34409,No Plan Selected,rotate,standard,us,static
66763,No Plan Selected,rotate,standard,us,rotate
154998,No Plan Selected,rotate,standard,us,static
182354,No Plan Selected,rotate,standard,de,static
182452,No Plan Selected,rotate,standard,br,semi-3
118339,No Plan Selected,rotate,standard,de,static
183936,No Plan Selected,rotate,standard,us,semi-3
184307,No Plan Selected,rotate,standard,us,static
184356,No Plan Selected,rotate,standard,us,static
184314,No Plan Selected,rotate,standard,us,static
185014,No Plan Selected,rotate,standard,de,semi-3
49739,No Plan Selected,rotate,standard,us,semi-3
139962,No Plan Selected,rotate,standard,us,static
116953,No Plan Selected,rotate,standard,de,static
166870,No Plan Selected,rotate,standard,us,static
186176,No Plan Selected,rotate,standard,us,rotate
186197,No Plan Selected,rotate,standard,us,semi-3
185014,No Plan Selected,rotate,standard,us,semi-3
186351,No Plan Selected,rotate,standard,us,static
149790,No Plan Selected,rotate,standard,us,static
186372,No Plan Selected,rotate,standard,br,rotate
186512,No Plan Selected,rotate,standard,us,static
187751,No Plan Selected,rotate,standard,gb,static
187863,No Plan Selected,rotate,standard,us,static
187870,No Plan Selected,rotate,standard,us,static
188052,No Plan Selected,rotate,standard,us,static
128342,No Plan Selected,rotate,standard,us,semi-3
174934,No Plan Selected,rotate,standard,us,static
75583,No Plan Selected,rotate,standard,us,static
188598,No Plan Selected,rotate,standard,us,sneaker
188773,No Plan Selected,rotate,standard,us,semi-3
149398,No Plan Selected,rotate,standard,us,semi-3
8705,No Plan Selected,rotate,standard,us,static
118941,No Plan Selected,rotate,standard,us,rotate
109393,No Plan Selected,rotate,standard,us,static
191104,No Plan Selected,rotate,standard,us,static
185952,No Plan Selected,rotate,standard,us,static
191300,No Plan Selected,rotate,standard,us,static
111962,No Plan Selected,rotate,standard,us,static
165008,No Plan Selected,rotate,standard,us,static
183565,No Plan Selected,rotate,standard,us,rotate
183460,No Plan Selected,rotate,standard,br,static
183460,No Plan Selected,rotate,standard,de,static
183460,No Plan Selected,rotate,standard,us,static
191902,No Plan Selected,rotate,standard,gb,static
160297,No Plan Selected,rotate,standard,us,static
183460,No Plan Selected,rotate,standard,us,semi-3
183460,No Plan Selected,rotate,standard,de,semi-3
192035,No Plan Selected,rotate,standard,us,static
192056,No Plan Selected,rotate,standard,de,semi-3
192070,No Plan Selected,rotate,standard,us,static
183460,No Plan Selected,rotate,standard,br,semi-3
50740,No Plan Selected,rotate,standard,us,static
48885,No Plan Selected,rotate,standard,us,static
192329,No Plan Selected,rotate,standard,br,static
166786,No Plan Selected,rotate,standard,us,static
183460,No Plan Selected,rotate,standard,gb,static
136245,No Plan Selected,rotate,standard,us,semi-3
192840,No Plan Selected,rotate,standard,us,static
