userid,country_code,orders,revenue,tenure,unique_product,client_status
167710,US,1,288,821,1,Active
167822,BR,1,184.8,576,1,Inactive
167843,CN,2,744,1238,2,Active
167920,BR,1,96,579,1,Inactive
167990,US,2,156,1419,2,Inactive
168221,DE,1,1440,538,1,Inactive
168263,BR,2,288,1268,1,Inactive
168305,BR,1,36,557,1,Inactive
168326,VN,1,568.68,696,1,Inactive
168557,US,2,1750.2,1408,2,Inactive
168599,US,1,3140.88,560,1,Inactive
16881,US,3,192,3073,2,Inactive
169026,CL,1,150.48,595,1,Inactive
169159,MK,2,1228.8,1238,2,Inactive
169201,BR,1,36,816,1,Inactive
169222,NZ,1,12000,646,1,Active
169404,US,1,2534.28,550,1,Inactive
169838,US,1,86.4,533,1,Inactive
170118,US,1,252,556,1,Inactive
170419,PA,1,30,780,1,Inactive
170699,EG,1,7200,866,1,Active
170727,US,2,4800,1542,2,Active
171287,JP,1,162.48,548,1,Active
171511,DK,1,30,587,1,Inactive
171546,US,1,136.8,627,1,Inactive
171707,US,1,60,875,1,Inactive
171791,JP,1,270.72,552,1,Inactive
171812,JP,1,28.2,544,1,Inactive
171938,ID,1,164.16,831,1,Inactive
17203,PL,1,720,1097,1,Inactive
172043,ME,1,72,624,1,Inactive
172064,IT,1,96,541,1,Inactive
172148,PT,1,288,875,1,Inactive
172169,BR,1,96,529,1,Inactive
172218,RS,1,68.4,649,1,Inactive
172883,JP,3,1808.4,2019,3,Active
173338,US,1,96,758,1,Inactive
173457,MY,1,54,644,1,Active
173478,JP,2,1186.56,1180,2,Active
173765,BR,1,156,837,1,Active
173898,US,1,144,630,1,Inactive
174437,GB,1,30,639,1,Inactive
174535,AU,1,68.4,531,1,Inactive
174549,US,1,144,561,1,Inactive
174605,RU,4,563.4,2802,4,Active
174934,MY,2,205.2,1243,2,Inactive
175053,US,1,72,639,1,Inactive
175214,CA,2,910.2,1328,2,Inactive
175298,US,1,240,866,1,Active
175564,BR,2,66,1427,2,Inactive
175669,US,1,30,515,1,Inactive
176068,BR,1,96,533,1,Inactive
176096,JP,2,218.88,1032,2,Inactive
176236,PL,1,172.8,590,1,Inactive
176488,GB,1,360,531,1,Inactive
176516,US,3,1820,1733,3,Inactive
176537,US,1,132,565,1,Inactive
176551,GB,4,618,2761,4,Active
176579,IL,1,57.6,593,1,Inactive
176691,US,1,360,739,1,Inactive
177328,VN,1,824.04,578,1,Inactive
17735,TH,1,72,1145,1,Inactive
177440,AR,2,102,1443,2,Inactive
177454,US,1,192,575,1,Inactive
177559,CN,1,348,600,1,Active
177769,NG,1,36,494,1,Inactive
178266,CA,1,68.4,627,1,Inactive
178679,US,3,210,1667,3,Inactive
178693,AT,3,8613.6,1657,3,Active
178728,KR,7,7815.6,5206,7,Active
178987,US,1,835.2,596,1,Inactive
179050,SG,2,936,1285,1,Active
179316,FR,1,36,511,1,Inactive
179351,GB,1,2097.6,847,1,Active
179414,US,1,72,518,1,Inactive
179862,IN,1,72,550,1,Inactive
179995,US,1,72,555,1,Inactive
180149,DE,2,496.8,1564,2,Active
180296,TR,1,288,788,1,Inactive
180436,US,1,72,769,1,Active
18071,US,1,132,1092,1,Inactive
180772,PL,1,96,563,1,Active
180856,PL,1,1128,747,1,Inactive
180926,US,1,144,810,1,Inactive
181108,US,1,100.8,579,1,Active
181122,DE,1,72,540,1,Inactive
181136,US,1,30,776,1,Inactive
181584,MT,1,132,532,1,Active
181731,US,1,288,658,1,Inactive
181850,IL,1,252,792,1,Inactive
181885,ES,1,2872.8,640,1,Inactive
181892,IT,1,144,726,1,Inactive
181920,GB,7,2214,5594,5,Active
182151,US,1,72,806,1,Inactive
18232,IN,1,144,1006,1,Inactive
182354,DE,1,96,516,1,Inactive
182452,BR,1,36,480,1,Inactive
182858,SE,1,48,674,1,Active
182977,BR,1,96,482,1,Inactive
183138,US,1,780,623,1,Inactive
183180,KR,1,24,538,1,Active
183369,US,1,72,775,1,Inactive
183460,US,7,3871.44,3725,7,Inactive
183565,US,2,228,1510,2,Active
183607,CA,1,72,649,1,Inactive
183824,TW,3,720,1602,2,Inactive
183936,US,1,30,774,1,Inactive
184307,US,1,72,574,1,Inactive
184314,IN,1,136.8,694,1,Inactive
184356,VN,3,7404,2467,3,Active
184426,IT,1,150,504,1,Inactive
184461,BG,2,102,1461,2,Inactive
184559,LV,1,72,466,1,Inactive
185007,VN,1,1846.8,797,1,Active
185014,AF,3,109.2,1783,3,Inactive
185259,JM,1,144,789,1,Inactive
185952,SI,1,72,806,1,Inactive
